,Rk,Player,Nation,Pos,Squad,Age,MP,90s,PrgC,PrgP,Ast,NPG,xAG,npxG,Key_Passes,Crosses_Completed,Through_Balls,SCA90,GCA90,Touches_in_Box,Succ Dribbles%
0,1,Max Aarons,ENG,DF,Bournemouth,24,3,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.09,0.0,0.0,0.0
1,2,Joshua Acheampong,ENG,DF,Chelsea,18,4,1.9,0.0,8.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,1.06,0.0,3.0,50.0
2,3,Tyler Adams,USA,MF,Bournemouth,25,28,21.8,14.0,76.0,0.14,0.0,0.05,0.07,0.8256880733944953,0.04587155963302752,0.09174311926605504,1.88,0.18,18.0,22.2
3,4,Tosin Adarabioyo,ENG,DF,Chelsea,26,22,15.7,5.0,42.0,0.06,0.06,0.01,0.06,0.06369426751592357,0.0,0.12738853503184713,0.96,0.06,14.0,66.7
4,5,Simon Adingra,CIV,"FW,MF",Brighton,22,29,12.2,50.0,18.0,0.16,0.16,0.2,0.2,1.3114754098360657,0.49180327868852464,0.1639344262295082,3.86,0.57,76.0,42.0
5,6,Emmanuel Agbadou,CIV,DF,Wolves,27,16,15.7,6.0,31.0,0.0,0.06,0.02,0.05,0.25477707006369427,0.0,0.06369426751592357,1.09,0.19,7.0,76.9
6,7,Asher Agbinone,ENG,MF,Crystal Palace,18,2,0.1,2.0,0.0,0.0,0.0,0.5,0.29,10.0,0.0,0.0,15.0,0.0,0.0,0.0
7,8,Ola Aina,NGA,DF,Nott'ham Forest,27,35,33.3,67.0,107.0,0.03,0.06,0.04,0.02,0.48048048048048053,0.3303303303303304,0.0,1.86,0.12,22.0,45.8
8,9,Rayan Aït-Nouri,ALG,DF,Wolves,23,37,34.5,89.0,108.0,0.2,0.12,0.16,0.08,1.3333333333333333,0.2898550724637681,0.08695652173913043,2.63,0.35,96.0,46.0
9,10,Kristoffer Ajer,NOR,DF,Brentford,26,24,16.0,27.0,56.0,0.0,0.0,0.08,0.06,0.5,0.25,0.0,1.13,0.13,38.0,43.8
10,11,Manuel Akanji,SUI,DF,Manchester City,29,26,22.4,46.0,158.0,0.0,0.0,0.02,0.07,0.4017857142857143,0.08928571428571429,0.17857142857142858,1.65,0.13,19.0,100.0
