,Rk,Player,Nation,Pos,Squad,Age,90s,Tkl,TklW,Blocks,Int,Clr,Err,Tackles,Tackles_Won,Interceptions,Clearances,Errors,Aerial Duels Won%
0,1,Max Aarons,ENG,DF,Bournemouth,24,1.0,2,2,3.0,1,0,0,2.0,2.0,1.0,3.0,0.0,0.0
1,2,Joshua Acheampong,ENG,DF,Chelsea,18,1.9,2,1,0.5263157894736842,1,2,0,1.0526315789473684,0.5263157894736842,0.5263157894736842,0.2770083102493075,0.0,14.3
2,3,Tyler Adams,USA,MF,Bournemouth,25,21.8,83,50,1.5137614678899083,32,42,0,3.8073394495412844,2.293577981651376,1.4678899082568806,0.0694385994444912,0.0,63.3
3,4,Tosin Adarabioyo,ENG,DF,Chelsea,26,15.7,17,13,0.5732484076433121,11,80,0,1.0828025477707006,0.8280254777070064,0.7006369426751593,0.036512637429510324,0.0,60.0
4,5,Simon Adingra,CIV,"FW,MF",Brighton,22,12.2,23,14,0.9836065573770493,8,6,2,1.8852459016393444,1.1475409836065575,0.6557377049180328,0.0806234883095942,0.1639344262295082,63.6
5,6,Emmanuel Agbadou,CIV,DF,Wolves,27,15.7,30,19,1.2101910828025477,12,90,0,1.910828025477707,1.2101910828025477,0.7643312101910829,0.0770822345734107,0.0,56.5
6,7,Asher Agbinone,ENG,MF,Crystal Palace,18,0.1,2,1,0.0,0,0,0,20.0,10.0,0.0,0.0,0.0,0.0
7,8,Ola Aina,NGA,DF,Nott'ham Forest,27,33.3,55,42,1.021021021021021,33,115,4,1.6516516516516517,1.2612612612612615,0.9909909909909911,0.03066129192255319,0.12012012012012013,40.6
8,9,Rayan Aït-Nouri,ALG,DF,Wolves,23,34.5,89,57,1.2173913043478262,26,75,2,2.579710144927536,1.6521739130434783,0.7536231884057971,0.03528670447385003,0.057971014492753624,42.3
9,10,Kristoffer Ajer,NOR,DF,Brentford,26,16.0,26,18,1.0625,12,50,0,1.625,1.125,0.75,0.06640625,0.0,54.0
10,11,Manuel Akanji,SUI,DF,Manchester City,29,22.4,19,12,0.4910714285714286,9,64,3,0.8482142857142858,0.5357142857142857,0.4017857142857143,0.021922831632653066,0.13392857142857142,47.6
